DRGDefinition,ProviderId,ProviderName,ProviderStreetAddress,ProviderCity,ProviderState,ProviderZipCode,HospitalReferralRegionDescription,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments,AUTO_UNIQUE_ID_2018-07-05_beckymcclain8_638,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPostOfficeBoxType,FPostOfficeBoxNumber,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,FPreType,FPreArticle,FPostArticle,FGeometrySRID
638 - DIABETES W CC,10025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,AL - Birmingham,14,6870.57,4919.07,4200.5,11,USCGeocoder,234.482,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5055.83452020353,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,32.8238467038791,-85.1703552597317,Exact,TwoThousandTen,78204,,,93272,1,46740,3024,3,9546.00,017,01,1,ResidenceStreetAddress,4800,,,48TH,ST,,,,,,VALLEY,AL,36854,,,,,,,,,,,,,,,,,,4800,,,48TH,ST,,,,,,VALLEY,AL,36854,,,,,,,,,,,,4898-4800,,,48th,St,,,,Valley,AL,36854,,,,,,,,,,Valley,Chambers,5055.83,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,3067404,,,,,,0
638 - DIABETES W CC,10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham,31,6841.93,4628.64,3433.32,12,USCGeocoder,93.7297,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3639.24947343738,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,32.6380740435672,-85.4054807032928,Exact,TwoThousandTen,57048,0580,,90162,0,12220,3013,3,0413.00,081,01,1,ResidenceStreetAddress,2000,,,PEPPERELL,PKWY,,,,,,OPELIKA,AL,36801,,,,,,,,,,,,,,,,,,2000,,,PEPPERELL,PKWY,,,,,,OPELIKA,AL,36801,,,,,,,,,,,,1910-2024,,,Pepperell,Pkwy,,,,Opelika,AL,36801,,,,,,,,,,Auburn-Opelika,Lee,3639.25,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,1570657,,,,,,0
638 - DIABETES W CC,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AL - Birmingham,54,19911.35,6237.29,5218.72,13,USCGeocoder,359.3715,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3228.67884341249,LinearInterpolationAddressRange,StreetSegment,99.3491124260355,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.5061751881402,-86.8018375400892,Relaxed,TwoThousandTen,,0450,,90324,0,13820,1098,1,0045.00,073,01,1,ResidenceStreetAddress,619,,S,19TH,ST,,,,,,BIRMINGHAM,AL,35233,,,,,,,,,,,,,,,,,,619,,S,19TH,ST,,,,,,BIRMINGHAM,AL,35233,,,,,,,,,,,,601-699,,,19th,St,S,,,Birmingham,AL,35233,,,,,,,,,,Birmingham,Jefferson,3228.68,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,81576442,,,,,,0
638 - DIABETES W CC,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,AL - Birmingham,16,11409.93,4482.75,3569.87,14,USCGeocoder,843.7516,1,4.1,,,00,AddressPoint,Ambiguous,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,67.7514792899408,FeatureClassBased,ReturnAll,,AddressPoint,,,3,34.2834441,-86.6868476,Relaxed;Soundex,TwoThousandTen,,0450,,92934,1,18980,2030,2,9642.00,043,01,1,ResidenceStreetAddress,1912,,,157,,,,,,,CULLMAN,AL,35058,,,,,,,,,,,,HWY,,,,,HWY,1912,,,157,,,,,,,CULLMAN,AL,35058,,,,,,,,,,,,1912,,,1559,,,,,cullman,AL,,,,,,,,,,,,Cullman,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,674786,,,CR,,,0
638 - DIABETES W CC,10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,AL - Birmingham,19,18423.94,4220.78,3335.52,15,USCGeocoder,218.7474,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2539.20851400867,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.6677867474825,-85.8250016302503,Exact,TwoThousandTen,01852,0450,,90099,0,11500,1049,1,0002.00,015,01,1,ResidenceStreetAddress,301,,E,18TH,ST,,,,,,ANNISTON,AL,36201,,,,,,,,,,,,,,,,,,301,,E,18TH,ST,,,,,,ANNISTON,AL,36201,,,,,,,,,,,,301-353,,E,18th,St,,,,Anniston,AL,36201,,,,,,,,,,Anniston,Calhoun,2539.21,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,624725714,,,,,,0
638 - DIABETES W CC,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,53,22960.15,5296.15,4252.07,16,USCGeocoder,140.6191,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.6331360946746,FeatureClassBased,ReturnAll,,AddressPoint,,,1,34.72092,-86.5805798,Relaxed,TwoThousandTen,,0450,,91674,0,26620,3068,3,0031.00,089,01,1,ResidenceStreetAddress,101,,,SIVLEY,RD,,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,,,,,,,101,,,SIVLEY,RD,,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,101,,,SIVLEY,RD,SW,,,Huntsville,AL,35801,,,,,,,,,,,MADISON,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,341786,,,,,,0
638 - DIABETES W CC,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham,18,47267.05,4254.94,3472.38,17,USCGeocoder,93.7533,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,12104.828968592,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.0093445368332,-85.9709512606732,Exact,TwoThousandTen,28696,2880,,91278,0,23460,1014,1,0112.00,055,01,1,ResidenceStreetAddress,1007,,,GOODYEAR,AVE,,,,,,GADSDEN,AL,35903,,,,,,,,,,,,,,,,,,1007,,,GOODYEAR,AVE,,,,,,GADSDEN,AL,35903,,,,,,,,,,,,901-1099,,,Goodyear,Ave,,,,Gadsden,AL,35903,,,,,,,,,,Gadsden,Etowah,12104.83,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66772490,,,,,,0
638 - DIABETES W CC,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,AL - Birmingham,18,30251.88,4254.38,3503.27,18,USCGeocoder,218.7384,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3164.33534934517,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.0050559013151,-86.0038673191009,Exact,TwoThousandTen,28696,2880,,91278,0,23460,3006,3,0012.00,055,01,1,ResidenceStreetAddress,600,,S,THIRD,ST,,,,,,GADSDEN,AL,35901,,,,,,,,,,,,,,,,,,600,,S,THIRD,ST,,,,,,GADSDEN,AL,35901,,,,,,,,,,,,600-698,,S,3rd,St,,,,Gadsden,AL,35901,,,,,,,,,,Gadsden,Etowah,3164.34,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66794160,,,,,,0
638 - DIABETES W CC,10054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,DECATUR,AL,35601,AL - Huntsville,13,24239.15,4663.23,3623.23,19,USCGeocoder,109.3806,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,805.952690345643,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.5749396014499,-87.0161845936333,Exact,TwoThousandTen,,0450,,90864,0,19460,2036,2,0010.00,103,01,1,ResidenceStreetAddress,1874,,,BELTLINE,RD,SW,,,,,DECATUR,AL,35601,,,,,,,,,,,,,,,,,,1874,,,BELTLINE,RD,SW,,,,,DECATUR,AL,35601,,,,,,,,,,,,1898-1800,,,Beltline,Rd,SW,,,Decatur,AL,35601,,,,,,,,,,Decatur,Morgan,805.95,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,97139928,,,,,,0
638 - DIABETES W CC,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,AL - Dothan,22,26661.54,4369.72,3656.63,20,USCGeocoder,93.7479,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3580.86887123436,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,31.2361092295559,-85.457946090647,Exact,TwoThousandTen,,0450,,90900,0,20020,4013,4,0402.02,069,01,1,ResidenceStreetAddress,4370,,W,MAIN,ST,,,,,,DOTHAN,AL,36305,,,,,,,,,,,,,,,,,,4370,,W,MAIN,ST,,,,,,DOTHAN,AL,36305,,,,,,,,,,,,4200-4370,,W,Main,St,,,,Dothan,AL,36305,,,,,,,,,,Dothan,Houston,3580.87,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,101238190,,,,,,0
638 - DIABETES W CC,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham,26,12493.96,4333.15,3342.69,21,USCGeocoder,109.3343,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9940828402367,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.5071318,-86.7890693,Relaxed,TwoThousandTen,,0450,,90324,0,13820,1010,1,0047.01,073,01,1,ResidenceStreetAddress,810,,,SAINT VINCENTS,DR,,,,,,BIRMINGHAM,AL,35205,,,,,,,,,,,,,,,,,,810,,,SAINT VINCENTS,DR,,,,,,BIRMINGHAM,AL,35205,,,,,,,,,,,,810,,,SAINT VINCENTS,DR,,,,jefferson,AL,35205,,,,,,,,,,,Jefferson,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1188092,,,,,,0
638 - DIABETES W CC,10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,AL - Huntsville,12,9579.66,4836.91,3573.58,22,USCGeocoder,93.7779,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,10299.2305737393,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.6598463227947,-86.0488223241127,Exact,TwoThousandTen,68736,,,92862,1,42460,4005,4,9508.00,071,01,1,ResidenceStreetAddress,380,,,WOODS COVE,RD,,,,,,SCOTTSBORO,AL,35768,,,,,,,,,,,,,,,,,,380,,,WOODS COVE,RD,,,,,,SCOTTSBORO,AL,35768,,,,,,,,,,,,620-300,,,Woods Cove,Rd,,,,Scottsboro,AL,35768,,,,,,,,,,Scottsboro,Jackson,10299.23,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,639685388,,,,,,0
638 - DIABETES W CC,10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,AL - Birmingham,11,4876.9,4393.18,3672.81,23,USCGeocoder,624.9871,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,693.089411890949,LinearInterpolationAddressRange,StreetSegment,81.0650887573964,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,32.8857796216209,-85.8691773650491,Relaxed,TwoThousandTen,01132,,,90819,1,10760,2060,2,9625.01,123,01,1,ResidenceStreetAddress,3316,,,280,,,,,,,ALEXANDER CITY,AL,35010,,,,,,,,,,,,HWY,,,,,HWY,3316,,,280,,,,,,,ALEXANDER CITY,AL,35010,,,,,,,,,,,,10398-1300,,,280,,,,,Alexander City,AL,36861,,,,,,,,,,Dadeville,Tallapoosa,693.09,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,,,tlid,1664814,,,US Hwy,,,0
