DRGDefinition,ProviderId,ProviderName,ProviderStreetAddress,ProviderCity,ProviderState,ProviderZipCode,HospitalReferralRegionDescription,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments,AUTO_UNIQUE_ID_2018-07-03_beckykelley8_482,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPostOfficeBoxType,FPostOfficeBoxNumber,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,FPreType,FPreArticle,FPostArticle,FGeometrySRID
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,25,36411.44,9142.84,8332.92,11,USCGeocoder,62.4352,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.6331360946746,FeatureClassBased,ReturnAll,,AddressPoint,,,1,34.72092,-86.5805798,Relaxed,TwoThousandTen,,0450,,91674,0,26620,3068,3,0031.00,089,01,1,ResidenceStreetAddress,101,,,SIVLEY,RD,,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,,,,,,,101,,,SIVLEY,RD,,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,101,,,SIVLEY,RD,SW,,,Huntsville,AL,35801,,,,,,,,,,,MADISON,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,341786,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham,24,71634.41,8137.83,6780.2,12,USCGeocoder,62.4704,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,12104.828968592,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.0093445368332,-85.9709512606732,Exact,TwoThousandTen,28696,2880,,91278,0,23460,1014,1,0112.00,055,01,1,ResidenceStreetAddress,1007,,,GOODYEAR,AVE,,,,,,GADSDEN,AL,35903,,,,,,,,,,,,,,,,,,1007,,,GOODYEAR,AVE,,,,,,GADSDEN,AL,35903,,,,,,,,,,,,901-1099,,,Goodyear,Ave,,,,Gadsden,AL,35903,,,,,,,,,,Gadsden,Etowah,12104.83,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66772490,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,AL - Birmingham,28,68674.96,8204.07,6708.92,13,USCGeocoder,124.9848,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3164.33534934517,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.0050559013151,-86.0038673191009,Exact,TwoThousandTen,28696,2880,,91278,0,23460,3006,3,0012.00,055,01,1,ResidenceStreetAddress,600,,S,THIRD,ST,,,,,,GADSDEN,AL,35901,,,,,,,,,,,,,,,,,,600,,S,THIRD,ST,,,,,,GADSDEN,AL,35901,,,,,,,,,,,,600-698,,S,3rd,St,,,,Gadsden,AL,35901,,,,,,,,,,Gadsden,Etowah,3164.34,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66794160,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham,21,25734.38,8412.9,6546.14,14,USCGeocoder,78.0819,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9940828402367,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.5071318,-86.7890693,Relaxed,TwoThousandTen,,0450,,90324,0,13820,1010,1,0047.01,073,01,1,ResidenceStreetAddress,810,,,SAINT VINCENTS,DR,,,,,,BIRMINGHAM,AL,35205,,,,,,,,,,,,,,,,,,810,,,SAINT VINCENTS,DR,,,,,,BIRMINGHAM,AL,35205,,,,,,,,,,,,810,,,SAINT VINCENTS,DR,,,,jefferson,AL,35205,,,,,,,,,,,Jefferson,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1188092,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,AL - Birmingham,11,24329.09,8246.36,7126,15,USCGeocoder,187.4861,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1862.84383050515,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.6570278580549,-85.8233782429084,Exact,TwoThousandTen,01852,0450,,90099,0,11500,1053,1,0008.00,015,01,1,ResidenceStreetAddress,400,,E,10TH,ST,,,,,,ANNISTON,AL,36207,,,,,,,,,,,,,,,,,,400,,E,10TH,ST,,,,,,ANNISTON,AL,36207,,,,,,,,,,,,400-498,,E,10th,St,,,,Anniston,AL,36207,,,,,,,,,,Anniston,Calhoun,1862.84,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66585523,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,AL - Mobile,12,50726.75,8218.41,6424.75,16,USCGeocoder,62.5087,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4639.25187885086,LinearInterpolationAddressRange,StreetSegment,97.9289940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,30.4250080887509,-87.6832946444224,Relaxed,TwoThousandTen,,0450,,91152,1,19300,3019,3,0115.01,003,01,1,ResidenceStreetAddress,1613,,N,MCKENZIE,ST,,,,,,FOLEY,AL,36535,,,,,,,,,,,,,,,,,,1613,,N,MCKENZIE,ST,,,,,,FOLEY,AL,36535,,,,,,,,,,,,1601-1701,,,McKenzie,St,,,,Foley,AL,36535,,,,,,,,,,Foley,Baldwin,4639.25,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,640320697,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,AL - Mobile,19,24746.26,7933.31,6872.68,17,USCGeocoder,62.4941,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,30.6793942,-88.1992602,Exact,TwoThousandTen,50000,5160,,93105,0,33660,1023,1,0037.03,097,01,1,ResidenceStreetAddress,6801,,,AIRPORT,BLVD,,,,,,MOBILE,AL,36608,,,,,,,,,,,,,,,,,,6801,,,AIRPORT,BLVD,,,,,,MOBILE,AL,36608,,,,,,,,,,,,6801,,,AIRPORT,BLVD,,,,mobile,AL,36608,,,,,,,,,,,,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,568304,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,AL - Tuscaloosa,12,42439.83,9183,7583.16,18,USCGeocoder,78.1198,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.2052116,-87.5254569,Exact,TwoThousandTen,,0450,,93222,0,46220,1096,1,0112.00,125,01,1,ResidenceStreetAddress,809,,,UNIVERSITY,BLVD,E,,,,,TUSCALOOSA,AL,35401,,,,,,,,,,,,,,,,,,809,,,UNIVERSITY,BLVD,E,,,,,TUSCALOOSA,AL,35401,,,,,,,,,,,,809,,,UNIVERSITY,BLVD,E,,,tuscaloosa,AL,35401,,,,,,,,,,,Tuscaloosa,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,2023979,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,AL - Birmingham,12,59123.5,8753.16,7637.16,19,USCGeocoder,62.5136,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9940828402367,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.5169792,-86.7493988,Relaxed,TwoThousandTen,,0450,,90324,0,13820,2015,2,0023.06,073,01,1,ResidenceStreetAddress,800,,,MONTCLAIR,RD,,,,,,BIRMINGHAM,AL,35213,,,,,,,,,,,,,,,,,,800,,,MONTCLAIR,RD,,,,,,BIRMINGHAM,AL,35213,,,,,,,,,,,,800,,,MONTCLAIR,RD,,,,jefferson,AL,35213,,,,,,,,,,,Jefferson,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1185548,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,AL - Mobile,23,26351.52,8454.08,6609.65,20,USCGeocoder,78.1252,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9349112426036,FeatureClassBased,ReturnAll,,AddressPoint,,,1,30.6967246,-88.0802674,Relaxed,TwoThousandTen,50000,5160,,92187,0,33660,1002,1,0025.02,097,01,1,ResidenceStreetAddress,5,,,MOBILE INFIRMARY,CIR,,,,,,MOBILE,AL,36652,,,,,,,,,,,,,,,,,,5,,,MOBILE INFIRMARY,CIR,,,,,,MOBILE,AL,36652,,,,,,,,,,,,5,,,MOBILE INFIRMARY,CIR,,,,mobile,AL,36607,,,,,,,,,,,,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,565143,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,AL - Huntsville,17,61816.82,8224.7,6909.47,21,USCGeocoder,93.7573,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.6331360946746,FeatureClassBased,ReturnAll,,AddressPoint,,,1,34.6933656,-86.5724917,Relaxed,TwoThousandTen,,0450,,91674,0,26620,1020,1,0026.00,089,01,1,ResidenceStreetAddress,1,,,HOSPITAL,DR,SE,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,,,,,,,1,,,HOSPITAL,DR,SE,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,1,,,HOSPITAL,DR,SW,,,Huntsville,AL,35801,,,,,,,,,,,MADISON,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,313765,,,,,,0
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,AL - Birmingham,23,71302,7774.56,6895.6,22,USCGeocoder,109.346,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7104.86441105185,LinearInterpolationAddressRange,StreetSegment,99.8994082840237,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.4631470113626,-86.7765601724329,Relaxed,TwoThousandTen,35800,1000,,90324,0,13820,3037,3,0129.05,073,01,1,ResidenceStreetAddress,2010,,,BROOKWOOD MEDICAL CENTER,DR,,,,,,BIRMINGHAM,AL,35209,,,,,,,,,,,,,,,,,,2010,,,BROOKWOOD MEDICAL CENTER,DR,,,,,,BIRMINGHAM,AL,35209,,,,,,,,,,,,2008-2018,,,Brookwood Medical Center,Dr,,,,Homewood,AL,35209,,,,,,,,,,Birmingham,Jefferson,7104.86,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,81715511,,,,,,0
