DRGDefinition,ProviderId,ProviderName,ProviderStreetAddress,ProviderCity,ProviderState,ProviderZipCode,HospitalReferralRegionDescription,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments,AUTO_UNIQUE_ID_2018-07-03_beckykelley8_897,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPostOfficeBoxType,FPostOfficeBoxNumber,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,FPreType,FPreArticle,FPostArticle,FGeometrySRID
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,AL - Montgomery,276,2536.69,4228.47,3602.02,11,USCGeocoder,93.785,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,FeatureClassBased,ReturnAll,,AddressPoint,,,1,32.5522566,-86.1863584,Relaxed,TwoThousandTen,81720,5240,,93456,0,33860,1037,1,0306.00,051,01,1,ResidenceStreetAddress,500,,,HOSPITAL,DR,,,,,,WETUMPKA,AL,36092,,,,,,,,,,,,,,,,,,500,,,HOSPITAL,DR,,,,,,WETUMPKA,AL,36092,,,,,,,,,,,,500,,,HOSPITAL,DR,,,,WETUMPKA,AL,,,,,,,,,,,,Elmore,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,699820,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,AL - Mobile,22,16401.45,3497,2729.54,12,USCGeocoder,109.3934,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9349112426036,FeatureClassBased,ReturnAll,,AddressPoint,,,1,30.6967246,-88.0802674,Relaxed,TwoThousandTen,50000,5160,,92187,0,33660,1002,1,0025.02,097,01,1,ResidenceStreetAddress,5,,,MOBILE INFIRMARY,CIR,,,,,,MOBILE,AL,36652,,,,,,,,,,,,,,,,,,5,,,MOBILE INFIRMARY,CIR,,,,,,MOBILE,AL,36652,,,,,,,,,,,,5,,,MOBILE INFIRMARY,CIR,,,,mobile,AL,36607,,,,,,,,,,,,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,565143,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,AL - Huntsville,24,19643.5,3647.08,2533.33,13,USCGeocoder,109.4022,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.6331360946746,FeatureClassBased,ReturnAll,,AddressPoint,,,1,34.6933656,-86.5724917,Relaxed,TwoThousandTen,,0450,,91674,0,26620,1020,1,0026.00,089,01,1,ResidenceStreetAddress,1,,,HOSPITAL,DR,SE,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,,,,,,,1,,,HOSPITAL,DR,SE,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,1,,,HOSPITAL,DR,SW,,,Huntsville,AL,35801,,,,,,,,,,,MADISON,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,313765,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,MS - Meridian,92,5129.98,4195,3543.21,14,USCGeocoder,93.7469,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6139.74328779324,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,32.4924935740681,-88.2970581757094,Exact,TwoThousandTen,84096,,,93510,,,2061,2,0115.00,119,01,1,ResidenceStreetAddress,751,,,DERBY,DR,,,,,,YORK,AL,36925,,,,,,,,,,,,,,,,,,751,,,DERBY,DR,,,,,,YORK,AL,36925,,,,,,,,,,,,799-601,,,Derby,Dr,,,,York,AL,36925,,,,,,,,,,York,Sumter,6139.74,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,640318357,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,AL - Birmingham,13,35458.07,3264.07,2389.84,15,USCGeocoder,109.364,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7104.86441105185,LinearInterpolationAddressRange,StreetSegment,99.8994082840237,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.4631470113626,-86.7765601724329,Relaxed,TwoThousandTen,35800,1000,,90324,0,13820,3037,3,0129.05,073,01,1,ResidenceStreetAddress,2010,,,BROOKWOOD MEDICAL CENTER,DR,,,,,,BIRMINGHAM,AL,35209,,,,,,,,,,,,,,,,,,2010,,,BROOKWOOD MEDICAL CENTER,DR,,,,,,BIRMINGHAM,AL,35209,,,,,,,,,,,,2008-2018,,,Brookwood Medical Center,Dr,,,,Homewood,AL,35209,,,,,,,,,,Birmingham,Jefferson,7104.86,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,81715511,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,10146,JACKSONVILLE MEDICAL CENTER,1701 SOUTH PELHAM ROAD,JACKSONVILLE,AL,36265,AL - Birmingham,201,10386.43,3492.38,2768.07,16,USCGeocoder,93.7464,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1946.30120819702,LinearInterpolationAddressRange,StreetSegment,99.3491124260355,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.7825258381681,-85.7617572373661,Relaxed,TwoThousandTen,38272,0450,,91746,0,11500,3071,3,0021.03,015,01,1,ResidenceStreetAddress,1701,,S,PELHAM,RD,,,,,,JACKSONVILLE,AL,36265,,,,,,,,,,,,,,,,,,1701,,S,PELHAM,RD,,,,,,JACKSONVILLE,AL,36265,,,,,,,,,,,,1657-1799,,,Pelham,Rd,S,,,Jacksonville,AL,36265,,,,,,,,,,Jacksonville,Calhoun,1946.3,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66599953,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99519,AK - Anchorage,12,32458,5720.08,4782.08,17,USCGeocoder,62.4706,1,4.1,,,10,POBoxZIPCentroid,Success,LOCATION_TYPE_POST_OFFICE_BOX,Meters,ArealInterpolation,33387078445.6297,ArealInterpolationGeometricCentroid,ZCTA,60,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,68.9422207511339,-146.324710547965,Relaxed;Soundex,TwoThousandTen,,0380,,55970,,,3157,3,0002.00,185,02,5,POBoxZIP,,,,,,,,,,,ANCHORAGE,AK,99519,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANCHORAGE,AK,99519,,,,,,,,,,,,,,,,,,,,,AK,99519,,,,,,,,,,,,33387.08,Kilometers,,SOURCE_CENSUS_2010_ZCTAS,2010,,,zcta5ce10,99519,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,AK - Anchorage,13,12077.84,7227,6542.69,18,USCGeocoder,78.1305,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1851.99503177684,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,58.3293741741569,-134.468870666848,Exact,TwoThousandTen,36400,,,36450,1,27940,4007,4,0004.00,110,02,1,ResidenceStreetAddress,3260,,,HOSPITAL,DR,,,,,,JUNEAU,AK,99801,,,,,,,,,,,,,,,,,,3260,,,HOSPITAL,DR,,,,,,JUNEAU,AK,99801,,,,,,,,,,,,3252-3298,,,Hospital,Dr,,,,Juneau,AK,99801,,,,,,,,,,Juneau,Juneau,1852,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,638014621,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,30002,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,AZ - Phoenix,11,15790.72,4939.72,4072.27,19,USCGeocoder,140.6156,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,95.3254437869822,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.4655137,-112.0875477,Relaxed,TwoThousandTen,,2620,,92601,0,38060,1002,1,1129.00,013,04,1,ResidenceStreetAddress,1111,,E,MCDOWELL,RD,,,,,,PHOENIX,AZ,85006,,,,,,,,,,,,,,,,,,1111,,E,MCDOWELL,RD,,,,,,PHOENIX,AZ,85006,,,,,,,,,,,,1111,,W,MCDOWELL,RD,,,,PHOENIX,AZ,85007,,,,,,,,,,,Maricopa,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,757107,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,AZ - Tucson,23,17661.73,4447.17,4017.91,20,USCGeocoder,125.0514,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,32.2523929,-110.8790086,Exact,TwoThousandTen,77000,8520,,93570,0,46060,2014,2,0029.04,019,04,1,ResidenceStreetAddress,5301,,E,GRANT,RD,,,,,,TUCSON,AZ,85712,,,,,,,,,,,,,,,,,,5301,,E,GRANT,RD,,,,,,TUCSON,AZ,85712,,,,,,,,,,,,5301,,E,GRANT,RD,,,,TUCSON,AZ,85712,,,,,,,,,,,Pima,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1997144,,,,,,0
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,30011,CARONDELET ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,AZ - Tucson,14,18487.57,3852.21,2814.78,21,USCGeocoder,109.3652,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,32.2272142,-110.8556596,Exact,TwoThousandTen,77000,8520,,93570,0,46060,1007,1,0040.68,019,04,1,ResidenceStreetAddress,350,,N,WILMOT,RD,,,,,,TUCSON,AZ,85711,,,,,,,,,,,,,,,,,,350,,N,WILMOT,RD,,,,,,TUCSON,AZ,85711,,,,,,,,,,,,350,,N,WILMOT,RD,,,,TUCSON,AZ,85711,,,,,,,,,,,Pima,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,2040017,,,,,,0
