DRGDefinition,ProviderId,ProviderName,ProviderStreetAddress,ProviderCity,ProviderState,ProviderZipCode,HospitalReferralRegionDescription,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments,AUTO_UNIQUE_ID_2018-07-05_kojoball41_469,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPostOfficeBoxType,FPostOfficeBoxNumber,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,FPreType,FPreArticle,FPostArticle,FGeometrySRID
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,AL - Birmingham,14,157710.64,16556,15678,11,USCGeocoder,125.0317,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3164.33534934517,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.0050559013151,-86.0038673191009,Exact,TwoThousandTen,28696,2880,,91278,0,23460,3006,3,0012.00,055,01,1,ResidenceStreetAddress,600,,S,THIRD,ST,,,,,,GADSDEN,AL,35901,,,,,,,,,,,,,,,,,,600,,S,THIRD,ST,,,,,,GADSDEN,AL,35901,,,,,,,,,,,,600-698,,S,3rd,St,,,,Gadsden,AL,35901,,,,,,,,,,Gadsden,Etowah,3164.34,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66794160,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,AL - Dothan,14,113305.92,17087.21,13625.85,12,USCGeocoder,62.5171,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3580.86887123436,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,31.2361092295559,-85.457946090647,Exact,TwoThousandTen,,0450,,90900,0,20020,4013,4,0402.02,069,01,1,ResidenceStreetAddress,4370,,W,MAIN,ST,,,,,,DOTHAN,AL,36305,,,,,,,,,,,,,,,,,,4370,,W,MAIN,ST,,,,,,DOTHAN,AL,36305,,,,,,,,,,,,4200-4370,,W,Main,St,,,,Dothan,AL,36305,,,,,,,,,,Dothan,Houston,3580.87,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,101238190,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham,25,52440.2,16629,15596.48,13,USCGeocoder,78.1306,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9940828402367,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.5071318,-86.7890693,Relaxed,TwoThousandTen,,0450,,90324,0,13820,1010,1,0047.01,073,01,1,ResidenceStreetAddress,810,,,SAINT VINCENTS,DR,,,,,,BIRMINGHAM,AL,35205,,,,,,,,,,,,,,,,,,810,,,SAINT VINCENTS,DR,,,,,,BIRMINGHAM,AL,35205,,,,,,,,,,,,810,,,SAINT VINCENTS,DR,,,,jefferson,AL,35205,,,,,,,,,,,Jefferson,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1188092,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,AL - Birmingham,13,62424.07,17692.76,16826.92,14,USCGeocoder,171.8659,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1862.84383050515,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.6570278580549,-85.8233782429084,Exact,TwoThousandTen,01852,0450,,90099,0,11500,1053,1,0008.00,015,01,1,ResidenceStreetAddress,400,,E,10TH,ST,,,,,,ANNISTON,AL,36207,,,,,,,,,,,,,,,,,,400,,E,10TH,ST,,,,,,ANNISTON,AL,36207,,,,,,,,,,,,400-498,,E,10th,St,,,,Anniston,AL,36207,,,,,,,,,,Anniston,Calhoun,1862.84,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66585523,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,DECATUR,AL,35609,AL - Huntsville,11,23916.18,17372.45,16360.81,15,USCGeocoder,109.3603,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2641.24340052131,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.5911031461491,-86.9727248921172,Relaxed,TwoThousandTen,,0450,,90864,0,19460,5021,5,0001.00,103,01,1,ResidenceStreetAddress,1201,,,7TH,ST,SE,,,,,DECATUR,AL,35609,,,,,,,,,,,,,,,,,,1201,,,7TH,ST,SE,,,,,DECATUR,AL,35609,,,,,,,,,,,,1201-1291,,,7th,St,SE,,,Decatur,AL,35601,,,,,,,,,,Decatur,Morgan,2641.24,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,640316049,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,AL - Mobile,13,49846.76,17236.46,16288.46,16,USCGeocoder,78.0972,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,30.6793942,-88.1992602,Exact,TwoThousandTen,50000,5160,,93105,0,33660,1023,1,0037.03,097,01,1,ResidenceStreetAddress,6801,,,AIRPORT,BLVD,,,,,,MOBILE,AL,36608,,,,,,,,,,,,,,,,,,6801,,,AIRPORT,BLVD,,,,,,MOBILE,AL,36608,,,,,,,,,,,,6801,,,AIRPORT,BLVD,,,,mobile,AL,36608,,,,,,,,,,,,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,568304,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,AL - Tuscaloosa,35,75530.14,20453.94,19523.34,17,USCGeocoder,78.1274,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.2052116,-87.5254569,Exact,TwoThousandTen,,0450,,93222,0,46220,1096,1,0112.00,125,01,1,ResidenceStreetAddress,809,,,UNIVERSITY,BLVD,E,,,,,TUSCALOOSA,AL,35401,,,,,,,,,,,,,,,,,,809,,,UNIVERSITY,BLVD,E,,,,,TUSCALOOSA,AL,35401,,,,,,,,,,,,809,,,UNIVERSITY,BLVD,E,,,tuscaloosa,AL,35401,,,,,,,,,,,Tuscaloosa,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,2023979,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,AL - Mobile,20,58781.75,15792.15,13991.85,18,USCGeocoder,62.4895,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3651.2612249791,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,30.5198837709349,-87.8895492141368,Exact,TwoThousandTen,,0450,,91053,1,19300,3027,3,0112.02,003,01,1,ResidenceStreetAddress,750,,,MORPHY,AVE,,,,,,FAIRHOPE,AL,36532,,,,,,,,,,,,,,,,,,750,,,MORPHY,AVE,,,,,,FAIRHOPE,AL,36532,,,,,,,,,,,,700-808,,,Morphy,Ave,,,,Fairhope,AL,36532,,,,,,,,,,Fairhope,Baldwin,3651.26,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,131649849,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,AL - Birmingham,13,90272.3,18960.69,16138.76,19,USCGeocoder,78.1145,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9940828402367,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.4985391,-86.8463621,Relaxed,TwoThousandTen,,0450,,90324,0,13820,5020,5,0040.00,073,01,1,ResidenceStreetAddress,701,,,PRINCETON,AVE,SW,,,,,BIRMINGHAM,AL,35211,,,,,,,,,,,,,,,,,,701,,,PRINCETON,AVE,SW,,,,,BIRMINGHAM,AL,35211,,,,,,,,,,,,701,,,PRINCETON,AVE,SW,,,jefferson,AL,35211,,,,,,,,,,,Jefferson,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,989136,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,AL - Birmingham,20,141898.65,18932.45,17978.25,20,USCGeocoder,78.1316,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9940828402367,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.5169792,-86.7493988,Relaxed,TwoThousandTen,,0450,,90324,0,13820,2015,2,0023.06,073,01,1,ResidenceStreetAddress,800,,,MONTCLAIR,RD,,,,,,BIRMINGHAM,AL,35213,,,,,,,,,,,,,,,,,,800,,,MONTCLAIR,RD,,,,,,BIRMINGHAM,AL,35213,,,,,,,,,,,,800,,,MONTCLAIR,RD,,,,jefferson,AL,35213,,,,,,,,,,,Jefferson,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1185548,,,,,,0
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,AL - Huntsville,17,94803.94,15161.82,13028.82,21,USCGeocoder,109.3615,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.6331360946746,FeatureClassBased,ReturnAll,,AddressPoint,,,1,34.6933656,-86.5724917,Relaxed,TwoThousandTen,,0450,,91674,0,26620,1020,1,0026.00,089,01,1,ResidenceStreetAddress,1,,,HOSPITAL,DR,SE,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,,,,,,,1,,,HOSPITAL,DR,SE,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,1,,,HOSPITAL,DR,SW,,,Huntsville,AL,35801,,,,,,,,,,,MADISON,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,313765,,,,,,0
