DRGDefinition,ProviderId,ProviderName,ProviderStreetAddress,ProviderCity,ProviderState,ProviderZipCode,HospitalReferralRegionDescription,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments,AUTO_UNIQUE_ID_2018-07-03_kojoball41_419,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPostOfficeBoxType,FPostOfficeBoxNumber,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,FPreType,FPreArticle,FPostArticle,FGeometrySRID
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,AL - Birmingham,11,45363,6123.18,5305.72,11,USCGeocoder,125.008,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3164.33534934517,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,34.0050559013151,-86.0038673191009,Exact,TwoThousandTen,28696,2880,,91278,0,23460,3006,3,0012.00,055,01,1,ResidenceStreetAddress,600,,S,THIRD,ST,,,,,,GADSDEN,AL,35901,,,,,,,,,,,,,,,,,,600,,S,THIRD,ST,,,,,,GADSDEN,AL,35901,,,,,,,,,,,,600-698,,S,3rd,St,,,,Gadsden,AL,35901,,,,,,,,,,Gadsden,Etowah,3164.34,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,66794160,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,AL - Dothan,14,42900,6149.21,5181.21,12,USCGeocoder,62.5089,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3580.86887123436,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,31.2361092295559,-85.457946090647,Exact,TwoThousandTen,,0450,,90900,0,20020,4013,4,0402.02,069,01,1,ResidenceStreetAddress,4370,,W,MAIN,ST,,,,,,DOTHAN,AL,36305,,,,,,,,,,,,,,,,,,4370,,W,MAIN,ST,,,,,,DOTHAN,AL,36305,,,,,,,,,,,,4200-4370,,W,Main,St,,,,Dothan,AL,36305,,,,,,,,,,Dothan,Houston,3580.87,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,101238190,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham,22,17935.27,6836.81,4456.27,13,USCGeocoder,78.1228,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9940828402367,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.5071318,-86.7890693,Relaxed,TwoThousandTen,,0450,,90324,0,13820,1010,1,0047.01,073,01,1,ResidenceStreetAddress,810,,,SAINT VINCENTS,DR,,,,,,BIRMINGHAM,AL,35205,,,,,,,,,,,,,,,,,,810,,,SAINT VINCENTS,DR,,,,,,BIRMINGHAM,AL,35205,,,,,,,,,,,,810,,,SAINT VINCENTS,DR,,,,jefferson,AL,35205,,,,,,,,,,,Jefferson,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1188092,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,AL - Mobile,16,48234.81,6267.75,5283.25,14,USCGeocoder,62.486,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4639.25187885086,LinearInterpolationAddressRange,StreetSegment,97.9289940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,30.4250080887509,-87.6832946444224,Relaxed,TwoThousandTen,,0450,,91152,1,19300,3019,3,0115.01,003,01,1,ResidenceStreetAddress,1613,,N,MCKENZIE,ST,,,,,,FOLEY,AL,36535,,,,,,,,,,,,,,,,,,1613,,N,MCKENZIE,ST,,,,,,FOLEY,AL,36535,,,,,,,,,,,,1601-1701,,,McKenzie,St,,,,Foley,AL,36535,,,,,,,,,,Foley,Baldwin,4639.25,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,640320697,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,AL - Mobile,14,22119.5,6038.07,5070.07,15,USCGeocoder,62.5107,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,30.6793942,-88.1992602,Exact,TwoThousandTen,50000,5160,,93105,0,33660,1023,1,0037.03,097,01,1,ResidenceStreetAddress,6801,,,AIRPORT,BLVD,,,,,,MOBILE,AL,36608,,,,,,,,,,,,,,,,,,6801,,,AIRPORT,BLVD,,,,,,MOBILE,AL,36608,,,,,,,,,,,,6801,,,AIRPORT,BLVD,,,,mobile,AL,36608,,,,,,,,,,,,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,568304,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,AL - Tuscaloosa,48,35729.68,7645.89,5353.62,16,USCGeocoder,78.1379,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,33.2052116,-87.5254569,Exact,TwoThousandTen,,0450,,93222,0,46220,1096,1,0112.00,125,01,1,ResidenceStreetAddress,809,,,UNIVERSITY,BLVD,E,,,,,TUSCALOOSA,AL,35401,,,,,,,,,,,,,,,,,,809,,,UNIVERSITY,BLVD,E,,,,,TUSCALOOSA,AL,35401,,,,,,,,,,,,809,,,UNIVERSITY,BLVD,E,,,tuscaloosa,AL,35401,,,,,,,,,,,Tuscaloosa,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,2023979,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,AL - Mobile,14,18936.64,5710.21,4578.21,17,USCGeocoder,62.465,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3651.2612249791,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,30.5198837709349,-87.8895492141368,Exact,TwoThousandTen,,0450,,91053,1,19300,3027,3,0112.02,003,01,1,ResidenceStreetAddress,750,,,MORPHY,AVE,,,,,,FAIRHOPE,AL,36532,,,,,,,,,,,,,,,,,,750,,,MORPHY,AVE,,,,,,FAIRHOPE,AL,36532,,,,,,,,,,,,700-808,,,Morphy,Ave,,,,Fairhope,AL,36532,,,,,,,,,,Fairhope,Baldwin,3651.26,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,131649849,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,AL - Mobile,40,24590.82,6600.12,4711.52,18,USCGeocoder,78.0763,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.9349112426036,FeatureClassBased,ReturnAll,,AddressPoint,,,1,30.6967246,-88.0802674,Relaxed,TwoThousandTen,50000,5160,,92187,0,33660,1002,1,0025.02,097,01,1,ResidenceStreetAddress,5,,,MOBILE INFIRMARY,CIR,,,,,,MOBILE,AL,36652,,,,,,,,,,,,,,,,,,5,,,MOBILE INFIRMARY,CIR,,,,,,MOBILE,AL,36652,,,,,,,,,,,,5,,,MOBILE INFIRMARY,CIR,,,,mobile,AL,36607,,,,,,,,,,,,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,565143,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,AL - Huntsville,14,44215.71,6428.64,4983.21,19,USCGeocoder,109.3674,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.6331360946746,FeatureClassBased,ReturnAll,,AddressPoint,,,1,34.6933656,-86.5724917,Relaxed,TwoThousandTen,,0450,,91674,0,26620,1020,1,0026.00,089,01,1,ResidenceStreetAddress,1,,,HOSPITAL,DR,SE,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,,,,,,,1,,,HOSPITAL,DR,SE,,,,,HUNTSVILLE,AL,35801,,,,,,,,,,,,1,,,HOSPITAL,DR,SW,,,Huntsville,AL,35801,,,,,,,,,,,MADISON,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,313765,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,AL - Birmingham,15,84047.13,6012.66,4716.06,20,USCGeocoder,93.7437,1,4.1,,,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7104.86441105185,LinearInterpolationAddressRange,StreetSegment,99.8994082840237,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,33.4631470113626,-86.7765601724329,Relaxed,TwoThousandTen,35800,1000,,90324,0,13820,3037,3,0129.05,073,01,1,ResidenceStreetAddress,2010,,,BROOKWOOD MEDICAL CENTER,DR,,,,,,BIRMINGHAM,AL,35209,,,,,,,,,,,,,,,,,,2010,,,BROOKWOOD MEDICAL CENTER,DR,,,,,,BIRMINGHAM,AL,35209,,,,,,,,,,,,2008-2018,,,Brookwood Medical Center,Dr,,,,Homewood,AL,35209,,,,,,,,,,Birmingham,Jefferson,7104.86,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,81715511,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,AL - Montgomery,14,28745.64,7797.14,4802.07,21,USCGeocoder,109.37,1,4.1,,,00,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,32.3761919,-86.1748994,Exact,TwoThousandTen,51000,5240,,92214,0,33860,2005,2,0054.07,101,01,1,ResidenceStreetAddress,400,,,TAYLOR,RD,,,,,,MONTGOMERY,AL,36117,,,,,,,,,,,,,,,,,,400,,,TAYLOR,RD,,,,,,MONTGOMERY,AL,36117,,,,,,,,,,,,400,,,TAYLOR,RD,,,,MONTGOMERY,AL,36117,,,,,,,,,,,Montgomery,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1711254,,,,,,0
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99519,AK - Anchorage,11,37233.18,10005.54,9091,22,USCGeocoder,62.5054,1,4.1,,,10,POBoxZIPCentroid,Success,LOCATION_TYPE_POST_OFFICE_BOX,Meters,ArealInterpolation,33387078445.6297,ArealInterpolationGeometricCentroid,ZCTA,60,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,68.9422207511339,-146.324710547965,Relaxed;Soundex,TwoThousandTen,,0380,,55970,,,3157,3,0002.00,185,02,5,POBoxZIP,,,,,,,,,,,ANCHORAGE,AK,99519,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANCHORAGE,AK,99519,,,,,,,,,,,,,,,,,,,,,AK,99519,,,,,,,,,,,,33387.08,Kilometers,,SOURCE_CENSUS_2010_ZCTAS,2010,,,zcta5ce10,99519,,,,,,0
