DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,AL - Birmingham,18,41265.88,9161.44,8097.66
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,AL - Mobile,22,54299.31,8597.54,7678.63
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,DECATUR,AL,35609,AL - Huntsville,11,18503.63,10182.63,7672.18
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,AL - Mobile,25,29125.6,8795.04,7724.44
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,AL - Tuscaloosa,52,43263.4,10826.17,9115.19
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,AL - Mobile,12,22343.75,8116.5,6619.41
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,AL - Birmingham,14,88393.85,11192.14,10307.21
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,AL - Birmingham,18,97549.66,10382.44,9190.55
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,AL - Mobile,41,31764.65,9970.8,7610.14
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,AL - Huntsville,16,71520.93,8930.5,8020.75
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,AL - Birmingham,12,82426.33,9344.41,7196.25
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,AL - Birmingham,15,39423.06,10114.46,9215.26
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99519,AK - Anchorage,15,51772.2,14947.8,12831.33
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30002,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,AZ - Phoenix,19,50841.26,13620.78,11394.21
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,AZ - Tucson,23,40455.17,11607.34,10349.26
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,AZ - Phoenix,12,70431.25,15241,14308.33
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30010,CARONDELET ST  MARYS HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,AZ - Tucson,17,45713.41,10902.88,8843.52
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30011,CARONDELET ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,AZ - Tucson,23,48144.34,10128.56,8748.69
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,AZ - Phoenix,21,33973.85,12158.28,10473.47
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,85364,AZ - Phoenix,29,49117.27,12107.96,11029.34
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,AZ - Phoenix,12,35427.16,11483.5,9401.25
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30016,CASA GRANDE REGIONAL MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85222,AZ - Phoenix,16,40187.56,11782.5,8859.81
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,AZ - Phoenix,18,58605.05,17799.22,15869.38
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30033,PAYSON REGIONAL MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,AZ,85541,AZ - Phoenix,18,65297.38,12253.88,10700
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30036,CHANDLER REGIONAL MEDICAL CENTER,475 SOUTH DOBSON ROAD,CHANDLER,AZ,85224,AZ - Mesa,20,66092.55,11307.1,9654.8
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,AZ - Sun City,27,50291.07,10123,8537.62
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30064,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSIT, THE",1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,AZ - Tucson,11,67406.9,17873.81,17053.36
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,AZ - Mesa,26,48546,12836.03,9783.65
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,AZ - Tucson,21,50327.95,10199.57,8640
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,85260,AZ - Phoenix,23,52796.43,10779.43,7482.78
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,AZ - Mesa,29,52044.13,10441.75,8811.44
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,AZ - Phoenix,17,50452.88,13331.35,9243.29
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30093,BANNER DEL E WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,AZ - Sun City,21,61217.9,10370.95,8255.66
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30094,ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,AZ - Phoenix,14,40058.71,11892.71,9485.42
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30101,WESTERN ARIZONA REGIONAL MEDICAL CTR,2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,86442,NV - Las Vegas,11,103338,11359.45,10339.09
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,AZ - Phoenix,11,36502,14555,10611
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,85755,AZ - Tucson,16,51338.06,9325.37,7901.06
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,AZ - Phoenix,11,56832.09,12630.54,9997.81
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85296,AZ - Mesa,13,101108.92,13937.76,11097.15
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ,85209,AZ - Mesa,16,75175.68,14982.62,10060.56
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,3215 N NORTH HILLS BLVD,FAYETTEVILLE,AR,72703,AR - Springdale,19,36865.73,9746.63,7875.68
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,40007,ST VINCENT INFIRMARY MEDICAL CENTER,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,AR - Little Rock,18,37294.55,10082.11,8767.33
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,40010,MERCY MEDICAL CENTER,2710 RIFE MEDICAL LANE,ROGERS,AR,72758,AR - Springdale,19,29488.31,9203.63,8320.05
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,40014,WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,SEARCY,AR,72143,AR - Little Rock,21,30918.09,11323.09,7864.57
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,40022,"NW ARKANSAS HOSPITALS, LLC",609 WEST MAPLE AVENUE,SPRINGDALE,AR,72764,AR - Springdale,22,55932.36,9979.27,8531.31
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,40026,ST JOSEPHS MERCY HEALTH CENTER INC,300 WERNER STREET,HOT SPRINGS,AR,71903,AR - Little Rock,28,32844.1,9645.5,8762.92
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,40027,BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,72653,MO - Springfield,34,19783.97,9712.85,7921.58
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,NORTH LITTLE RO,AR,72117,AR - Little Rock,16,33780.93,9214,8443.75
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,40055,SPARKS REGIONAL MEDICAL CENTER,1001 TOWSON AVENUE,FORT SMITH,AR,72901,AR - Fort Smith,21,32475.04,10476.23,7917.52
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,40062,ST EDWARD MERCY MEDICAL CENTER,7301 ROGERS AVE,FORT SMITH,AR,72917,AR - Fort Smith,25,33758.4,10230.84,7662.52
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,40078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,71901,AR - Little Rock,13,98769.76,11642.23,10449.84
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,"9601 INTERSTATE 630, EXIT 7",LITTLE ROCK,AR,72205,AR - Little Rock,31,42057.61,9773.16,8510.87
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,40119,WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET,BATESVILLE,AR,72503,AR - Little Rock,15,36649.2,10287.73,9384.26
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50006,ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,CA - Redding,13,64533.15,13271,11707.07
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,CA - San Mateo County,23,67862.13,13982.65,11566.17
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,CA - San Diego,35,66858.05,12540.6,11645.05
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST BOX 1888,BAKERSFIELD,CA,93301,CA - Bakersfield,14,62588.92,13103.85,12383
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50039,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,CA - Chico,14,74863.14,11651.57,11013.85
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50045,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,CA,92243,CA - San Diego,13,62121.61,14539,13678.07
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50056,ANTELOPE VALLEY HOSPITAL MED CENTER,1600 W AVE J,LANCASTER,CA,93534,CA - Los Angeles,14,54355.07,14220.14,13175.85
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50057,KAWEAH DELTA MEDICAL CENTER,400 W MINERAL KING AVE,VISALIA,CA,93291,CA - Bakersfield,14,69526.71,14732.64,13690.64
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50060,COMMUNITY REGIONAL MEDICAL CENTER,2823 FRESNO STREET,FRESNO,CA,93715,CA - Fresno,20,51176.45,16673.9,15834.5
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50069,ST JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,CA - Orange County,13,57928.15,11950.84,10332.84
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,CA - San Diego,27,67368.7,16833.81,12784.37
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50082,ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,OXNARD,CA,93030,CA - Ventura,14,93495.71,15254.85,11500.5
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50084,ST JOSEPHS MED CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,CA,95204,CA - Stockton,26,102712.8,14398.76,13491.84
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50093,SAINT AGNES MEDICAL CENTER,1303 E HERNDON AVE,FRESNO,CA,93710,CA - Fresno,24,60291.58,12471.37,11724.7
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50100,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,92123,CA - San Diego,35,71571.28,13421.82,11834.34
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50107,MARIAN MEDICAL CENTER,1400 E CHURCH ST,SANTA MARIA,CA,93454,CA - Santa Barbara,17,62796.35,13342.23,12278.7
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,CA - Los Angeles,12,97003.08,14038.75,13009.08
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50121,ADVENTIST MEDICAL CENTER,115 MALL DRIVE,HANFORD,CA,93230,CA - Fresno,13,61277.92,13162,12293.69
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50125,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,SAN JOSE,CA,95116,CA - San Jose,13,149515.76,19572.07,18403.92
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,CA - Los Angeles,11,56707.81,15688.18,14562
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50133,RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,MARYSVILLE,CA,95901,CA - Sacramento,19,49662.78,13119.73,12118.68
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,MONTEREY,CA,93940,CA - Salinas,25,74093.56,18165.72,11747.28
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50169,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,12401 E WASHINGTON BLVD,WHITTIER,CA,90602,CA - Los Angeles,13,100933.38,12344.46,11314.3
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50174,SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR,SANTA ROSA,CA,95405,CA - Santa Rosa,21,85019.71,14745.33,13833.52
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50179,EMANUEL MEDICAL CENTER INC,825 DELBON AVE,TURLOCK,CA,95382,CA - Modesto,22,78023.45,12669.77,11711
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,94598,CA - Contra Costa County,17,115066.41,13548.58,12561
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50222,SHARP CHULA VISTA MEDICAL CENTER,751 MEDICAL CENTER COURT,CHULA VISTA,CA,91911,CA - San Diego,23,81577,13512.86,12490.43
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,CA - Orange County,28,57086.39,11393.89,10391.17
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50225,FEATHER RIVER HOSPITAL,5974 PENTZ ROAD,PARADISE,CA,95969,CA - Chico,12,121247.91,11885,10755.66
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50226,AHMC ANAHEIM REGIONAL MEDICAL CENTER,1111 W LA PALMA AVENUE,ANAHEIM,CA,92801,CA - Orange County,11,86889.36,12349.9,11220.81
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,501 SOUTH BUENA VISTA,BURBANK,CA,91505,CA - Los Angeles,12,127338.83,13027.66,12189.33
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50238,METHODIST HOSPITAL OF SOUTHERN CA,300 W HUNTINGTON DR,ARCADIA,CA,91006,CA - Los Angeles,18,63609.61,12987.77,12046.22
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50239,GLENDALE ADVENTIST MEDICAL CENTER,1509 E WILSON TERRACE,GLENDALE,CA,91206,CA - Los Angeles,14,81443,16321.35,15438.78
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50242,DOMINICAN HOSPITAL,1555 SOQUEL DRIVE,SANTA CRUZ,CA,95065,CA - Santa Cruz,12,107862,15450,14423
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50254,MARSHALL MEDICAL CENTER (1-RH),1100 MARSHALL WAY,PLACERVILLE,CA,95667,CA - Sacramento,16,103104.5,13827.93,10915.43
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50278,PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI ST,MISSION HILLS,CA,91346,CA - Los Angeles,17,111143.88,13491.7,12433.82
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,CA - Redding,17,62237.88,14123.58,13197
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50289,SETON MEDICAL CENTER,1900 SULLIVAN AVENUE,DALY CITY,CA,94015,CA - San Mateo County,11,136110.27,23858.18,15519.45
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50305,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,2450 ASHBY AVE,BERKELEY,CA,94705,CA - Alameda County,12,95279.58,18338.08,17214.08
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50324,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,9888 GENESEE AVENUE,LA JOLLA,CA,92037,CA - San Diego,22,74726.18,10777.18,9856.86
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50327,LOMA LINDA UNIVERSITY MEDICAL CENTER,11234 ANDERSON ST,LOMA LINDA,CA,92354,CA - San Bernardino,11,64404.63,18041.27,17326.72
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50334,SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,93901,CA - Salinas,21,70320.38,15913.28,15001.47
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50336,LODI MEMORIAL HOSPITAL,975 S FAIRMONT AVENUE,LODI,CA,95240,CA - Sacramento,11,150741.54,12784.54,11764.18
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50351,TORRANCE MEMORIAL MEDICAL CENTER,3330 LOMITA BLVD,TORRANCE,CA,90509,CA - Los Angeles,13,70918.84,11649.07,10780.76
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50380,GOOD SAMARITAN HOSPITAL,2425 SAMARITAN DRIVE,SAN JOSE,CA,95124,CA - San Jose,13,109812.69,14175.76,13135.76
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,50382,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,210 W  SAN BERNARDINO ROAD,COVINA,CA,91723,CA - Los Angeles,15,44585.53,16200.53,13688.13
