DRGDefinition,ProviderId,ProviderName,ProviderStreetAddress,ProviderCity,ProviderState,ProviderZipCode,HospitalReferralRegionDescription,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments,AUTO_UNIQUE_ID_2018-07-03_kojoball41_418,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPostOfficeBoxType,FPostOfficeBoxNumber,FPrimaryIdField,FPrimaryIdValue,FSecondaryIDField,FSecondaryIDValue,FPreType,FPreArticle,FPostArticle,FGeometrySRID,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100040,ST VINCENT'S MEDICAL CENTER,1 SHIRCLIFF WAY,JACKSONVILLE,FL,32204,FL - Jacksonville,17,43274,9763.7,8840.88,179,USCGeocoder,109.3746,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,30.3062311,-81.6899966,Exact,TwoThousandTen,35000,3600,,91646,0,27260,2022,2,171,31,12,1,ResidenceStreetAddress,1,,,SHIRCLIFF,WAY,,,,,,JACKSONVILLE,FL,32204,,,,,,,,,,,,,,,,,,1,,,SHIRCLIFF,WAY,,,,,,JACKSONVILLE,FL,32204,,,,,,,,,,,,1,,,SHIRCLIFF,WAY,,,,JACKSONVILLE,FL,32204,,,,,,,,,,,Duval,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,2619359,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100044,MARTIN MEMORIAL MEDICAL CENTER,200 SE HOSPITAL AVE,STUART,FL,34995,FL - Fort Lauderdale,30,59301.53,9984,8973.73,180,USCGeocoder,109.3857,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1837.230297,LinearInterpolationAddressRange,StreetSegment,96.00591716,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,27.19842263,-80.24309953,Relaxed,TwoThousandTen,68875,2710,,93250,0,38940,1001,1,8,85,12,1,ResidenceStreetAddress,200,,SE,HOSPITAL,AVE,,,,,,STUART,FL,34995,,,,,,,,,,,,,,,,,,200,,SE,HOSPITAL,AVE,,,,,,STUART,FL,34995,,,,,,,,,,,,298-200,,SE,Hospital,Ave,,,,Stuart,FL,34994,,,,,,,,,,Stuart,Martin,1837.23,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,120423458,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100046,FLORIDA HOSPITAL ZEPHYRHILLS,7050 GALL BLVD,ZEPHYRHILLS,FL,33541,FL - Tampa,23,74010.69,9294,8318,181,USCGeocoder,109.3744,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,28.2613368,-82.1853015,Exact,TwoThousandTen,79225,8280,,93770,0,45300,2001,2,328.04,101,12,1,ResidenceStreetAddress,7050,,,GALL,BLVD,,,,,,ZEPHYRHILLS,FL,33541,,,,,,,,,,,,,,,,,,7050,,,GALL,BLVD,,,,,,ZEPHYRHILLS,FL,33541,,,,,,,,,,,,7050,,,GALL,BLVD,,,,ZEPHYRHILLS,FL,33541,,,,,,,,,,,Pasco,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,7781381,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100050,PALM SPRINGS GENERAL HOSPITAL,1475 W 49TH ST,HIALEAH,FL,33012,FL - Miami,18,41717.05,13161,12287.66,182,USCGeocoder,281.2461,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.99408284,FeatureClassBased,ReturnAll,,AddressPoint,,,1,25.8688461,-80.3122837,Relaxed,TwoThousandTen,30000,4992,33124,91482,0,33100,4007,4,7.08,86,12,1,ResidenceStreetAddress,1475,,W,49TH,ST,,,,,,HIALEAH,FL,33012,,,,,,,,,,,,,,,,,,1475,,W,49TH,ST,,,,,,HIALEAH,FL,33012,,,,,,,,,,,,1475,,W,49TH,ST,,,,miami,FL,33012,,,,,,,,,,,Miami-Dade,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,5841227,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100052,WINTER HAVEN HOSPITAL,200 AVE F NE,WINTER HAVEN,FL,33881,FL - Orlando,21,56663.33,9699,8630.04,183,USCGeocoder,124.9999,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2865.385728,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,28.02760332,-81.7268413,Exact,TwoThousandTen,,2020,,93718,0,29460,1009,1,137.01,105,12,1,ResidenceStreetAddress,200,,,F,,NE,,,,,WINTER HAVEN,FL,33881,,,,,,,,,,,,AVE,,,,,AVE,200,,,F,,NE,,,,,WINTER HAVEN,FL,33881,,,,,,,,,,,,200-298,,,F,,NE,,,Winter Haven,FL,33881,,,,,,,,,,Winter Haven-Auburndale,Polk,2865.39,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,104887362,,,Ave,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100053,HIALEAH HOSPITAL,651 E 25TH ST,HIALEAH,FL,33013,FL - Miami,11,93566.18,14975.81,14058.36,184,USCGeocoder,187.5359,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.99408284,FeatureClassBased,ReturnAll,,AddressPoint,,,1,25.8454125,-80.2684061,Relaxed,TwoThousandTen,30000,4992,33124,91482,0,33100,3013,3,6.05,86,12,1,ResidenceStreetAddress,651,,E,25TH,ST,,,,,,HIALEAH,FL,33013,,,,,,,,,,,,,,,,,,651,,E,25TH,ST,,,,,,HIALEAH,FL,33013,,,,,,,,,,,,651,,E,25TH,ST,,,,miami,FL,33013,,,,,,,,,,,Miami-Dade,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,5817828,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100057,FLORIDA HOSPITAL WATERMAN,1000 WATERMAN WAY,TAVARES,FL,32778,FL - Orlando,24,42917.5,9387.16,8542.16,185,USCGeocoder,109.3998,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.99408284,FeatureClassBased,ReturnAll,,AddressPoint,,,1,28.8235404,-81.7107841,Relaxed,TwoThousandTen,71225,5960,,93393,0,36740,2035,2,308.03,69,12,1,ResidenceStreetAddress,1000,,,WATERMAN,WAY,,,,,,TAVARES,FL,32778,,,,,,,,,,,,,,,,,,1000,,,WATERMAN,WAY,,,,,,TAVARES,FL,32778,,,,,,,,,,,,1000,,,WATERMAN,WAY,,,,lake,FL,32778,,,,,,,,,,,Lake,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,4176000,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100062,MUNROE REGIONAL MEDICAL CENTER,1500 SW 1ST AVE,OCALA,FL,34474,FL - Ocala,22,44907.5,9081.31,8108.04,186,USCGeocoder,265.6364,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,99.46745562,FeatureClassBased,ReturnAll,,AddressPoint,,,1,29.174979,-82.1389061,Relaxed,TwoThousandTen,,2020,,92483,0,36100,1173,1,19,83,12,1,ResidenceStreetAddress,1500,,SW,1ST,AVE,,,,,,OCALA,FL,34474,,,,,,,,,,,,,,,,,,1500,,SW,1ST,AVE,,,,,,OCALA,FL,34474,,,,,,,,,,,,1500,,SW,1ST,AVE,,,,OCALA,FL,34471,,,,,,,,,,,Marion,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,5278115,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,FL - Sarasota,28,59547.07,9043,8036.85,187,USCGeocoder,109.3953,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,27.0910015,-82.4449801,Exact,TwoThousandTen,73900,7510,,93484,0,35840,1033,1,24.01,115,12,1,ResidenceStreetAddress,540,,,THE RIALTO,,,,,,,VENICE,FL,34285,,,,,,,,,,,,,,,,,,540,,,THE RIALTO,,,,,,,VENICE,FL,34285,,,,,,,,,,,,540,,,THE RIALTO,,,,,Venice,FL,34285,,,,,,,,,,,Sarasota,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,8762279,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100071,BROOKSVILLE REGIONAL HOSPITAL,17240 CORTEZ BLVD,BROOKSVILLE,FL,34601,FL - Hudson,15,86103.93,10218,9165.73,188,USCGeocoder,93.7722,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,28.5385767,-82.4431404,Exact,TwoThousandTen,67266,8280,,90325,0,45300,1049,1,406.02,53,12,1,ResidenceStreetAddress,17240,,,CORTEZ,BLVD,,,,,,BROOKSVILLE,FL,34601,,,,,,,,,,,,,,,,,,17240,,,CORTEZ,BLVD,,,,,,BROOKSVILLE,FL,34601,,,,,,,,,,,,17240,,,CORTEZ,BLVD,,,,BROOKSVILLE,FL,34601,,,,,,,,,,,Hernando,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,3242578,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100072,FLORIDA HOSPITAL FISH MEMORIAL,1055 SAXON BLVD,ORANGE CITY,FL,32763,FL - Orlando,12,31878.75,9629.66,7755.83,189,USCGeocoder,93.7597,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,28.9141379,-81.285166,Exact,TwoThousandTen,51825,2020,,90793,0,19660,1016,1,908.06,127,12,1,ResidenceStreetAddress,1055,,,SAXON,BLVD,,,,,,ORANGE CITY,FL,32763,,,,,,,,,,,,,,,,,,1055,,,SAXON,BLVD,,,,,,ORANGE CITY,FL,32763,,,,,,,,,,,,1055,,,SAXON,BLVD,,,,ORANGE CITY,FL,32763,,,,,,,,,,,Volusia,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,10556867,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100073,HOLY CROSS HOSPITAL INC,4725 N FEDERAL HWY,FORT LAUDERDALE,FL,33308,FL - Fort Lauderdale,23,80823.95,9724,8782.47,190,USCGeocoder,156.2697,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,26.187073,-80.1194457,Exact,TwoThousandTen,24000,4992,22744,91098,0,33100,2001,2,403,11,12,1,ResidenceStreetAddress,4725,,N,FEDERAL HIGHWAY,,,,,,,FORT LAUDERDALE,FL,33308,,,,,,,,,,,,,,,,,,4725,,N,FEDERAL HIGHWAY,,,,,,,FORT LAUDERDALE,FL,33308,,,,,,,,,,,,4725,,N,FEDERAL HIGHWAY,,,,,FORT LAUDERDALE,FL,33308,,,,,,,,,,,,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,1689249,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100075,ST JOSEPH'S HOSPITAL,3001 W MARTIN LUTHER KING JR BLVD,TAMPA,FL,33677,FL - Tampa,33,52817.24,11854.24,9024.96,191,USCGeocoder,218.7442,1,4.1,,,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,60,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,1,27.966235,-82.520188,Relaxed;Soundex,TwoThousandTen,71000,8280,,93367,0,45300,2044,2,26,57,12,5,POBoxZIP,3001,,W,MARTIN LUTHER KING,BLVD,,,,,,TAMPA,FL,33677,,,,,,,,,,,,,,,,,,3001,,W,MARTIN LUTHER KING,BLVD,,,,,,TAMPA,FL,33677,,,,,,,,,,,,,,,,,,,,Tampa,FL,33677,,,,,,,,,,,Hillsborough,0,Meters,,SOURCE_NAME_ZIPCODEDOWNLOAD_ZIPS2013,2013,,,ZIPCode,33677,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100080,JFK MEDICAL CENTER,5301 S CONGRESS AVE,ATLANTIS,FL,33462,FL - Fort Lauderdale,25,87547.72,11197.16,8257.28,192,USCGeocoder,109.363,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,26.5987974,-80.0914611,Exact,TwoThousandTen,2500,8960,48424,91872,0,33100,1051,1,49.02,99,12,1,ResidenceStreetAddress,5301,,S,CONGRESS,AVE,,,,,,ATLANTIS,FL,33462,,,,,,,,,,,,,,,,,,5301,,S,CONGRESS,AVE,,,,,,ATLANTIS,FL,33462,,,,,,,,,,,,5301,,S,CONGRESS,AVE,,,,Atlantis,FL,33462,,,,,,,,,,,palm,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,7314188,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100084,LEESBURG REGIONAL MEDICAL CENTER,600 E DIXIE AVE,LEESBURG,FL,34748,FL - Orlando,21,36363,9482.23,8042.76,193,USCGeocoder,124.9683,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,94.85207101,FeatureClassBased,ReturnAll,,AddressPoint,,,1,28.8088153,-81.8692174,Relaxed,TwoThousandTen,,2020,,91911,0,36740,1043,1,306.02,69,12,1,ResidenceStreetAddress,600,,E,DIXIE,AVE,,,,,,LEESBURG,FL,34748,,,,,,,,,,,,,,,,,,600,,E,DIXIE,AVE,,,,,,LEESBURG,FL,34748,,,,,,,,,,,,600,,,DIXIE,AVE,,,,lake,FL,34748,,,,,,,,,,,Lake,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,4221962,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100087,SARASOTA MEMORIAL HOSPITAL,1700 S TAMIAMI TRL,SARASOTA,FL,34239,FL - Sarasota,30,56311.36,9532.7,8522.46,194,USCGeocoder,93.7448,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,27.3188048,-82.5327912,Exact,TwoThousandTen,64175,7510,,93107,0,35840,2025,2,5.01,115,12,1,ResidenceStreetAddress,1700,,S,TAMIAMI,TRL,,,,,,SARASOTA,FL,34239,,,,,,,,,,,,,,,,,,1700,,S,TAMIAMI,TRL,,,,,,SARASOTA,FL,34239,,,,,,,,,,,,1700,,S,TAMIAMI,TRL,,,,Sarasota,FL,34239,,,,,,,,,,,Sarasota,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,8636414,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100088,BAPTIST MEDICAL CENTER,800 PRUDENTIAL DR,JACKSONVILLE,FL,32207,FL - Jacksonville,32,48654.84,10482.5,9108.25,195,USCGeocoder,78.1373,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,30.315327,-81.6640988,Exact,TwoThousandTen,35000,3600,,91642,0,27260,2021,2,8,31,12,1,ResidenceStreetAddress,800,,,PRUDENTIAL,DR,,,,,,JACKSONVILLE,FL,32207,,,,,,,,,,,,,,,,,,800,,,PRUDENTIAL,DR,,,,,,JACKSONVILLE,FL,32207,,,,,,,,,,,,800,,,PRUDENTIAL,DR,,,,JACKSONVILLE,FL,32207,,,,,,,,,,,Duval,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,2731693,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100090,FLAGLER HOSPITAL,400 HEALTH PARK BLVD,SAINT AUGUSTINE,FL,32086,FL - Jacksonville,16,56582.56,10866,10027,196,USCGeocoder,93.7533,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,29.8633691,-81.3171692,Exact,TwoThousandTen,,2020,,93016,0,27260,1026,1,213.02,109,12,1,ResidenceStreetAddress,400,,,HEALTH PARK,BLVD,,,,,,SAINT AUGUSTINE,FL,32086,,,,,,,,,,,,,,,,,,400,,,HEALTH PARK,BLVD,,,,,,SAINT AUGUSTINE,FL,32086,,,,,,,,,,,,400,,,HEALTH PARK,BLVD,,,,Saint Augustine,FL,32086,,,,,,,,,,,St. Johns,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,9098484,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100092,WUESTHOFF MEDICAL CENTER  ROCKLEDGE,110 LONGWOOD AVE,ROCKLEDGE,FL,32955,FL - Orlando,15,49016.2,9631.26,8034.4,197,USCGeocoder,62.5151,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,28.3352291,-80.7231976,Exact,TwoThousandTen,61500,4900,,90624,0,37340,2025,2,628,9,12,1,ResidenceStreetAddress,110,,,LONGWOOD,AVE,,,,,,ROCKLEDGE,FL,32955,,,,,,,,,,,,,,,,,,110,,,LONGWOOD,AVE,,,,,,ROCKLEDGE,FL,32955,,,,,,,,,,,,110,,,LONGWOOD,AVE,,,,ROCKLEDGE,FL,32955,,,,,,,,,,,Brevard,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,369314,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100093,BAPTIST HOSPITAL,1000 W MORENO ST,PENSACOLA,FL,32501,FL - Pensacola,11,45457,9627,8806.63,198,USCGeocoder,78.1269,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,80556.59764,ArealInterpolationGeometricCentroid,Parcel,98.99408284,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,30.42941194,-87.23209595,Relaxed,TwoThousandTen,55925,6080,,92691,0,37860,1126,1,18,33,12,1,ResidenceStreetAddress,1000,,W,MORENO,ST,,,,,,PENSACOLA,FL,32501,,,,,,,,,,,,,,,,,,1000,,W,MORENO,ST,,,,,,PENSACOLA,FL,32501,,,,,,,,,,,,1000,,W,Moreno,St,,,,Brent,FL,32501,,,,2316,,,,,,,ESCAMBIA,80556.6,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,,,UniqueId,2578052,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100099,LAKE WALES MEDICAL CENTER,410 S 11TH ST,LAKE WALES,FL,33853,FL - Orlando,18,74194.22,9210.38,8275.94,199,USCGeocoder,703.1278,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1637.204148,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,27.89636544,-81.56475615,Exact,TwoThousandTen,,2020,,91859,0,29460,1012,1,143.02,105,12,1,ResidenceStreetAddress,410,,S,11TH,ST,,,,,,LAKE WALES,FL,33853,,,,,,,,,,,,,,,,,,410,,S,11TH,ST,,,,,,LAKE WALES,FL,33853,,,,,,,,,,,,400-410,,S,11th,St,,,,Lake Wales,FL,33853,,,,,,,,,,Lake Wales,Polk,1637.2,Meters,,SOURCE_CENSUS_TIGERLINES_2016,2016,,,tlid,104832373,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100105,INDIAN RIVER MEDICAL CENTER,1000 36TH ST,VERO BEACH,FL,32960,FL - Orlando,25,26900.44,10038,9094.8,200,USCGeocoder,234.4354,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,27.6586014,-80.393883,Exact,TwoThousandTen,25925,,,93510,0,42680,1019,1,503.01,61,12,1,ResidenceStreetAddress,1000,,,36TH,ST,,,,,,VERO BEACH,FL,32960,,,,,,,,,,,,,,,,,,1000,,,36TH,ST,,,,,,VERO BEACH,FL,32960,,,,,,,,,,,,1000,,,36TH,ST,,,,VERO BEACH,FL,32960,,,,,,,,,,,Indian River,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,4053502,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100109,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,4200 SUN N' LAKE BLVD,SEBRING,FL,33871,FL - Orlando,20,44711.8,9797.5,8841.7,201,USCGeocoder,78.1221,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,314418.9111,ArealInterpolationGeometricCentroid,Parcel,99.46745562,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,27.53960111,-81.50916436,Relaxed,TwoThousandTen,,2020,,90091,1,42700,3039,3,9605.02,55,12,1,ResidenceStreetAddress,4200,,,SUN N LAKE,BLVD,,,,,,SEBRING,FL,33871,,,,,,,,,,,,,,,,,,4200,,,SUN N LAKE,BLVD,,,,,,SEBRING,FL,33871,,,,,,,,,,,,4200,,,Sun N Lake,Blvd,,,,Sebring,FL,33872,,,,1986,,,,,,,HIGHLANDS,314418.91,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,,,UniqueId,3145468,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100110,OSCEOLA REGIONAL MEDICAL CENTER,700 WEST OAK STREET,KISSIMMEE,FL,34741,FL - Orlando,16,99149.81,10723.75,9878.75,202,USCGeocoder,93.7584,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,98.99408284,FeatureClassBased,ReturnAll,,AddressPoint,,,1,28.2997091,-81.4093007,Relaxed,TwoThousandTen,,2020,,91768,0,36740,2020,2,416,97,12,1,ResidenceStreetAddress,700,,W,OAK,ST,,,,,,KISSIMMEE,FL,34741,,,,,,,,,,,,,,,,,,700,,W,OAK,ST,,,,,,KISSIMMEE,FL,34741,,,,,,,,,,,,700,,W,OAK,ST,,,,osceola,FL,34741,,,,,,,,,,,Osceola,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,6736357,,,,,,0,,,,,,
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,100118,FLORIDA HOSPITAL FLAGLER,60 MEMORIAL MEDICAL PKWY,PALM COAST,FL,32164,FL - Ormond Beach,14,35426.57,11299.64,9535.92,203,USCGeocoder,296.8676,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,1,29.4793801,-81.1892601,Exact,TwoThousandTen,54200,2020,,90338,0,37380,1039,1,602.13,35,12,1,ResidenceStreetAddress,60,,,MEMORIAL MEDICAL,PKWY,,,,,,PALM COAST,FL,32164,,,,,,,,,,,,,,,,,,60,,,MEMORIAL MEDICAL,PKWY,,,,,,PALM COAST,FL,32164,,,,,,,,,,,,60,,,MEMORIAL MEDICAL,PKWY,,,,PALM COAST,FL,32164,,,,,,,,,,,Flagler,0,Meters,,SOURCE_OPENADDRESSES,2017,,,uniqueId,3135903,,,,,,0,,,,,,
